1;After Life;8,4;https://www.imdb.com/title/tt8398600/;https://m.media-amazon.com/images/M/MV5BMjM4MDExMjU3N15BMl5BanBnXkFtZTgwNzM2OTg0NzM@._V1_SY1000_CR0,0,674,1000_AL_.jpg;1;12;0;False;;Comedy
2;Agents of S.H.I.E.L.D.;7,5;https://www.imdb.com/title/tt2364582;https://m.media-amazon.com/images/M/MV5BOTdmZmNjNDUtYWU4ZC00MDZhLTg2MDctMDVmZTM1ODViMGYwXkEyXkFqcGdeQXVyNTc4MjczMTM@._V1_.jpg;1;22;0;False;;Hmmm
3;Altered Carbon;8,1;https://www.imdb.com/title/tt2261227;https://m.media-amazon.com/images/M/MV5BYzgwODdlMDQtYzkxNC00ZDVmLTg2NzUtNTljMThlYTM2NzZhXkEyXkFqcGdeQXVyODEyMzI2OTE@._V1_.jpg;1;10;0;False;;Hmmm
4;American Gods;7,9;https://www.imdb.com/title/tt1898069/;https://m.media-amazon.com/images/M/MV5BYTMyYmFjYWUtYjMyOS00ZjRlLWIxODUtYjUyYTFkM2ZmMmQxXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UY268_CR9,0,182,268_AL_.jpg;1;8;0;False;;Hmmm
5;Arrow;7,6;https://www.imdb.com/title/tt2193021/;https://m.media-amazon.com/images/M/MV5BNmE3Mjg5MzUtNDZjOS00NmRlLWI3MTktM2Q3MTZjZDU4MTI2XkEyXkFqcGdeQXVyMjU3NDYxNzc@._V1_SY1000_CR0,0,666,1000_AL_.jpg;5;23;21;False;;On Hold
6;Awkward.;7,5;https://www.imdb.com/title/tt1663676;https://m.media-amazon.com/images/M/MV5BNDRmNjFmOWYtMjZmMy00ZjBlLWI0N2MtYTcyYTgzOGIxYzY0XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SY1000_CR0,0,701,1000_AL_.jpg;1;24;0;False;;Comedy
7;Banshee;8,4;https://www.imdb.com/title/tt2017109;https://m.media-amazon.com/images/M/MV5BMTkzNTA1MDI5M15BMl5BanBnXkFtZTcwNTY3NjAwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg;1;10;0;False;;Hmmm
8;Big Little Lies;8,5;https://www.imdb.com/title/tt3920596;https://m.media-amazon.com/images/M/MV5BNzQ4ZmFhZDItMGY2Ny00Yzk5LThhNzgtN2Q4NjJiYWQzMzA2XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_.jpg;1;7;0;False;;Comedy
9;Black Lightning;6,1;https://www.imdb.com/title/tt6045840;https://m.media-amazon.com/images/M/MV5BMjI0MTU3MTkzMl5BMl5BanBnXkFtZTgwMDMzMjg4MTI@._V1_.jpg;2;16;16;False;;On Hold
10;Braking Bad;9,5;https://www.imdb.com/title/tt0903747;https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR5,0,182,268_AL_.jpg;3;13;3;False;;Watching
11;Broadchurch;8,4;https://www.imdb.com/title/tt2249364;https://m.media-amazon.com/images/M/MV5BNDk5MjVjYTMtOWFlOS00ODg4LWIwNjItMWM2NDE1NGE1YWQwXkEyXkFqcGdeQXVyNjg0NTcxMTg@._V1_SY1000_CR0,0,758,1000_AL_.jpg;1;8;0;False;;Hmmm
12;Brooklyn Nine-Nine;8,4;https://www.imdb.com/title/tt2467372;https://m.media-amazon.com/images/M/MV5BNzVkYWY4NzYtMWFlZi00YzkwLThhZDItZjcxYTU4ZTMzMDZmXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_.jpg;1;22;0;False;;Comedy
13;Carnival Row;7,9;https://www.imdb.com/title/tt0489974;https://m.media-amazon.com/images/M/MV5BNjhjMzQ3M2EtMjlkMS00NGNlLThjZDMtMjhkNDcwYWFhMTc0XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_SY1000_SX675_AL_.jpg;1;8;0;False;;Hmmm
14;Castlevania;8,1;https://www.imdb.com/title/tt6517102;https://m.media-amazon.com/images/M/MV5BNTZhNGMzNzctMzhiYS00MmJiLWJmYWItMzhiYTk4Zjg0ZWIxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SY1000_CR0,0,666,1000_AL_.jpg;1;4;0;False;;Hmmm
15;Chilling Adventures of Sabrina;7,6;https://www.imdb.com/title/tt7569592/;https://m.media-amazon.com/images/M/MV5BOTQyMDYwNDMyOV5BMl5BanBnXkFtZTgwMjM4NTIzNjM@._V1_SY1000_CR0,0,674,1000_AL_.jpg;2;9;9;False;;Season Completed
16;Cloak & Dagger;6,8;https://www.imdb.com/title/tt5614844/;https://m.media-amazon.com/images/M/MV5BNTU4NzU2OTc5NF5BMl5BanBnXkFtZTgwMDg3MzA0NzM@._V1_UX182_CR0,0,182,268_AL_.jpg;2;10;10;False;;Completed
17;Cobra Kai;8,8;https://www.imdb.com/title/tt7221388;https://m.media-amazon.com/images/M/MV5BMzZlYzFkMGYtZmE1Ni00MWFkLTkxNzYtZTc3MjZhYWRhZDgxXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SY1000_SX675_AL_.jpg;1;10;0;False;;Hmmm
18;Community;8,5;https://www.imdb.com/title/tt1439629;https://m.media-amazon.com/images/M/MV5BNDQ5NDZiYjktZmFmMy00MjAxLTk1MDktOGZjYTY5YTE1ODdmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_SY1000_CR0,0,697,1000_AL_.jpg;1;25;0;False;;Comedy
19;Crazy Ex-Girlfriend;7,8;https://www.imdb.com/title/tt4094300;https://m.media-amazon.com/images/M/MV5BYjQ0MjNiYjItMWFkNC00MTI5LTlhYTEtZWY3OGJhN2VhZjBmXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SY1000_CR0,0,666,1000_AL_.jpg;1;18;0;False;;Comedy
20;Daredevil;8,6;https://www.imdb.com/title/tt3322312;https://m.media-amazon.com/images/M/MV5BZjMzOTE4MGYtODk3ZS00YTgyLWIwNmEtZDBjZGM1MDY2MTFlXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_SY1000_CR0,0,692,1000_AL_.jpg;2;13;13;False;;Season Completed
21;Dead to Me ;8,1;https://www.imdb.com/title/tt8064302;https://m.media-amazon.com/images/M/MV5BODkwNmY1MjgtY2ZlNS00MWVmLWEzZTktYmMyNDQzMjlmMGY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SY1000_CR0,0,674,1000_AL_.jpg;1;10;0;False;;Comedy
22;Des;8,0;https://www.imdb.com/title/tt11656892/;https://m.media-amazon.com/images/M/MV5BNjVkZGVlNzItM2FhOC00MWFhLThkYjUtNWE0MDNkNGMxMzk3XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY268_CR43,0,182,268_AL_.jpg;1;3;0;False;;Hmmm
23;Dexter;8,6;https://www.imdb.com/title/tt0773262;https://m.media-amazon.com/images/M/MV5BMTM5MjkwMTI0MV5BMl5BanBnXkFtZTcwODQwMTc0OQ@@._V1_.jpg;1;12;0;False;;Hmmm
24;Doctor Who;8,6;https://www.imdb.com/title/tt0436992;https://m.media-amazon.com/images/M/MV5BMjAzMTM5MTQ3OV5BMl5BanBnXkFtZTgwMDg4ODM2MzE@._V1_.jpg;10;12;12;False;;On Hold
25;Doom Patrol;8,0;https://www.imdb.com/title/tt8416494/;https://m.media-amazon.com/images/M/MV5BZjkzM2E0NDgtYjM5Mi00ZTljLTgxNzctZmJiNzI3YjhmNjIzXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UX182_CR0,0,182,268_AL_.jpg;1;15;15;False;;Season Completed
26;Emerald City;7,2;https://www.imdb.com/title/tt3579018;https://m.media-amazon.com/images/M/MV5BMTk5NTA1NzkyNV5BMl5BanBnXkFtZTgwNzk1MDM3MDI@._V1_UX182_CR0,0,182,268_AL_.jpg;1;10;0;False;;Whatever
27;Faking It;7,4;https://www.imdb.com/title/tt3127020;https://m.media-amazon.com/images/M/MV5BODcwODNlOWQtMmFiNy00Yjc2LWE4MjctMmY0NjE5Y2NlMDAyXkEyXkFqcGdeQXVyNzA1MjU0Njg@._V1_SY1000_CR0,0,666,1000_AL_.jpg;1;8;0;False;;Comedy
28;Flashforward;7,6;https://www.imdb.com/title/tt1441135;https://m.media-amazon.com/images/M/MV5BMTY1MDg1MjUxMl5BMl5BanBnXkFtZTcwNDc2NTk4Mg@@._V1_.jpg;1;22;0;False;;Whatever
29;Frequency;7,5;https://www.imdb.com/title/tt5531470;https://m.media-amazon.com/images/M/MV5BMTU0MTAxNTUzMl5BMl5BanBnXkFtZTgwMTE0NDg4OTE@._V1_UY268_CR3,0,182,268_AL_.jpg;1;14;14;False;;Whatever
30;Game of Thrones;9,3;https://www.imdb.com/title/tt0944947;https://m.media-amazon.com/images/M/MV5BMjA5NzA5NjMwNl5BMl5BanBnXkFtZTgwNjg2OTk2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg;6;10;0;False;;Watching
31;Good Omens;8,1;https://www.imdb.com/title/tt1869454;https://m.media-amazon.com/images/M/MV5BOTI5Y2M3NmQtNDg5ZC00OTQ0LWEzOGYtMjM4Zjg0YzY0M2I0XkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX182_CR0,0,182,268_AL_.jpg;1;6;0;False;;Hmmm
32;Gotham;7,8;https://www.imdb.com/title/tt3749900;https://m.media-amazon.com/images/M/MV5BMTgwNDM0MTA5OV5BMl5BanBnXkFtZTgwMDg5MjU5MjI@._V1_SY1000_CR0,0,646,1000_AL_.jpg;1;22;0;False;;On Hold
33;Grimm;7,8;https://www.imdb.com/title/tt1830617;https://m.media-amazon.com/images/M/MV5BMTkyODg2MzQwMV5BMl5BanBnXkFtZTgwNTA2MjE1MDI@._V1_UX182_CR0,0,182,268_AL_.jpg;6;13;13;False;;Completed
34;Happy Endings;7,7;https://www.imdb.com/title/tt1587678;https://m.media-amazon.com/images/M/MV5BMjE0NTQyOTM5OF5BMl5BanBnXkFtZTcwOTYyMTU2OA@@._V1_UY268_CR9,0,182,268_AL_.jpg;3;23;23;False;;Completed
35;Happy!;8,2;https://www.imdb.com/title/tt2452242/;https://m.media-amazon.com/images/M/MV5BNzk2NjYxMDMxMV5BMl5BanBnXkFtZTgwMzQxODcwNDI@._V1_SY1000_CR0,0,673,1000_AL_.jpg;1;0;0;False;;Whatever
36;Hart of Dixie;7,7;https://www.imdb.com/title/tt1832979;https://m.media-amazon.com/images/M/MV5BMTk2NDU1MzQ3NF5BMl5BanBnXkFtZTcwNDk2NzQzNg@@._V1_SY1000_CR0,0,666,1000_AL_.jpg;1;22;0;False;;Comedy
37;Helstrom;0;https://www.imdb.com/title/tt10266874/;https://m.media-amazon.com/images/M/MV5BMTJlM2U2Y2EtNDViYS00NTllLWFmZTMtMmI0Y2I2ZDhmNWQyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY268_CR1,0,182,268_AL_.jpg;1;0;0;False;;Not Aired Yet
38;Heroes;7,5;https://www.imdb.com/title/tt0813715;https://m.media-amazon.com/images/M/MV5BMjI3ODU0OTQ1MV5BMl5BanBnXkFtZTgwNzI0MTQ2MzE@._V1_UX182_CR0,0,182,268_AL_.jpg;4;18;18;False;;Completed
39;Heroes: Reborn;6,7;https://www.imdb.com/title/tt3556944;https://m.media-amazon.com/images/M/MV5BNDg2NTI5OTYzOV5BMl5BanBnXkFtZTgwMzI0MzA1NjE@._V1_UY268_CR9,0,182,268_AL_.jpg;1;13;13;False;;Completed
40;His Dark Materials;8,0;https://www.imdb.com/title/tt5607976;https://m.media-amazon.com/images/M/MV5BOTc5NDFlNmQtZGRkNS00NWQxLWEyYjAtY2Q2YjIzNmRiODM2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg;1;8;0;False;;Hmmm
41;How I Met Your Mother;8,3;https://www.imdb.com/title/tt0460649;https://m.media-amazon.com/images/M/MV5BZWJjMDEzZjUtYWE1Yy00M2ZiLThlMmItODljNTAzODFiMzc2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg;9;24;24;False;;Completed
42;I Know This Much Is True;0;https://www.imdb.com/title/tt0425118/;https://m.media-amazon.com/images/M/MV5BY2QxNmIyMzAtZjZkNS00ZTVjLTg2ZDQtOTk0M2Q4ZGUxMDc4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SY1000_CR0,0,674,1000_AL_.jpg;1;7;0;False;;Not Aired Yet
43;Into the Badlands;8,0;https://www.imdb.com/title/tt3865236;https://m.media-amazon.com/images/M/MV5BNGUzMmNkMWMtNTI4OC00ZGY1LThlZmUtMDI5YjYyZDE2MzE2XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SY1000_CR0,0,666,1000_AL_.jpg;1;6;0;False;;Hmmm
44;Iron Fist;6,5;https://www.imdb.com/title/tt3322310;https://m.media-amazon.com/images/M/MV5BMjI5Mjg1NDcyOV5BMl5BanBnXkFtZTgwMjAxOTQ5MTI@._V1_SY1000_CR0,0,674,1000_AL_.jpg;2;23;23;False;;Completed
45;iZombie;7,9;https://www.imdb.com/title/tt3501584/;https://m.media-amazon.com/images/M/MV5BODdjNjRhOWUtMTA3NC00NTJmLTg4ZWUtZWJiNzNmMzZiN2NiXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY1000_CR0,0,666,1000_AL_.jpg;3;13;9;False;;Watching
46;Jane the Virgin;7,8;https://www.imdb.com/title/tt3566726;https://m.media-amazon.com/images/M/MV5BMTE3YjUzNjUtYjZmNy00M2Q5LTlhNzktOGE0YjliN2I2ODE2XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_SY1000_CR0,0,666,1000_AL_.jpg;1;22;0;False;;Comedy
47;Jessica Jones;8,0;https://www.imdb.com/title/tt2357547;https://m.media-amazon.com/images/M/MV5BMTkxMDk5NTQ3MF5BMl5BanBnXkFtZTgwNzg3ODU3NDM@._V1_SY1000_CR0,0,674,1000_AL_.jpg;2;13;13;False;;Season Completed
48;Krypton;7,0;https://www.imdb.com/title/tt4276624;https://m.media-amazon.com/images/M/MV5BMmY4MTZjNTEtYTliNy00ODA0LTlhN2MtZDM0ZDRlMDcyYTQ2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg;1;10;0;False;;Whatever
